user_id,total_interacciones,necesidad_principal,canal_preferido,ratio_ruido,clusters_frecuentes,primera_interaccion,ultima_interaccion
USR-03119,2,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 2}",08/08/2025 00:00,08/08/2025 00:00
USR-03120,4,"Puedo, Bancos, Banregio, Independiente, Transferencia",1,50.00%,"{""Ruido"": 2, ""Puedo, Bancos, Banregio, Independiente, Transferencia"": 1, ""Atención, Número, Clientes, Cliente, Centro"": 1}",06/11/2025 00:00,25/11/2025 00:00
USR-03121,4,"Transferencia, Transferencias, Puedo, Transferir, Hacer",1,75.00%,"{""Ruido"": 3, ""Transferencia, Transferencias, Puedo, Transferir, Hacer"": 1}",02/11/2025 00:00,04/11/2025 00:00
USR-03122,12,"Norte, Pal, Puedo, Extranjero, Beneficios",1,25.00%,"{""Ruido"": 3, ""Norte, Pal, Puedo, Extranjero, Beneficios"": 2, ""Si, Puedo, Quiero, Aparece, Cómo"": 2, ""Dinero, Pago, Puedo, Compra, Si"": 2, ""Préstamo, Personal, Quiero, Puedo, Solicitar"": 1, ""Puedo, Bancos, Banregio, Independiente, Transferencia"": 1, ""Puedo, Física, Si, Cómo, Solicitar"": 1}",05/10/2025 00:00,08/10/2025 00:00
USR-03123,1,"Puedo, Física, Si, Cómo, Solicitar",1,0.00%,"{""Puedo, Física, Si, Cómo, Solicitar"": 1}",10/10/2025 00:00,10/10/2025 00:00
USR-03124,2,"Atención, Número, Clientes, Cliente, Centro",1,50.00%,"{""Ruido"": 1, ""Atención, Número, Clientes, Cliente, Centro"": 1}",07/10/2025 00:00,07/10/2025 00:00
USR-03125,8,"Puedo, Bancos, Banregio, Independiente, Transferencia",1,62.50%,"{""Ruido"": 5, ""Puedo, Bancos, Banregio, Independiente, Transferencia"": 1, ""Si, Puedo, Quiero, Aparece, Cómo"": 1, ""Puedo, Física, Si, Cómo, Solicitar"": 1}",26/08/2025 00:00,07/10/2025 00:00
USR-03126,2,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 2}",15/07/2025 00:00,23/07/2025 00:00
USR-03127,1,"Puedo, Física, Si, Cómo, Solicitar",1,0.00%,"{""Puedo, Física, Si, Cómo, Solicitar"": 1}",26/09/2025 00:00,26/09/2025 00:00
USR-03128,1,"Atención, Número, Clientes, Cliente, Centro",1,0.00%,"{""Atención, Número, Clientes, Cliente, Centro"": 1}",11/08/2025 00:00,11/08/2025 00:00
USR-03129,2,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 2}",28/09/2025 00:00,29/09/2025 00:00
USR-03130,3,"Dinero, Pago, Puedo, Compra, Si",1,0.00%,"{""Dinero, Pago, Puedo, Compra, Si"": 2, ""Puedo, Física, Si, Cómo, Solicitar"": 1}",04/11/2025 00:00,04/11/2025 00:00
USR-03131,1,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 1}",16/07/2025 00:00,16/07/2025 00:00
USR-03132,5,"Si, Puedo, Quiero, Aparece, Cómo",1,80.00%,"{""Ruido"": 4, ""Si, Puedo, Quiero, Aparece, Cómo"": 1}",26/09/2025 00:00,26/09/2025 00:00
USR-03133,3,"Dinero, Pago, Puedo, Compra, Si",1,33.33%,"{""Ruido"": 1, ""Dinero, Pago, Puedo, Compra, Si"": 1, ""Si, Puedo, Quiero, Aparece, Cómo"": 1}",24/10/2025 00:00,24/10/2025 00:00
USR-03134,3,"Número, Teléfono, Numero, Puedo, Llamar",1,66.67%,"{""Ruido"": 2, ""Número, Teléfono, Numero, Puedo, Llamar"": 1}",03/10/2025 00:00,03/10/2025 00:00
USR-03135,3,"Aplicación, Puedo, Cómo, Actualizar, Si",1,33.33%,"{""Aplicación, Puedo, Cómo, Actualizar, Si"": 1, ""Ruido"": 1, ""Atención, Número, Clientes, Cliente, Centro"": 1}",11/09/2025 00:00,11/09/2025 00:00
USR-03136,1,"Atención, Número, Clientes, Cliente, Centro",1,0.00%,"{""Atención, Número, Clientes, Cliente, Centro"": 1}",03/10/2025 00:00,03/10/2025 00:00
USR-03137,2,"Auto, 000, Enganche, Quiero, Meses",1,0.00%,"{""Auto, 000, Enganche, Quiero, Meses"": 1, ""Meses, 000, Enganche, 60, 36"": 1}",06/09/2025 00:00,06/09/2025 00:00
USR-03138,2,"Débito, Deuda, Debito, Crédito, Si",1,50.00%,"{""Débito, Deuda, Debito, Crédito, Si"": 1, ""Ruido"": 1}",20/08/2025 00:00,23/08/2025 00:00
USR-03139,1,"Pay, Apple, Verificar, Cómo, Puedo",1,0.00%,"{""Pay, Apple, Verificar, Cómo, Puedo"": 1}",22/10/2025 00:00,22/10/2025 00:00
USR-03140,3,"Inversión, Puedo, Cómo, Inversiones, Invertir",1,33.33%,"{""Inversión, Puedo, Cómo, Inversiones, Invertir"": 1, ""Ruido"": 1, ""Dinero, Pago, Puedo, Compra, Si"": 1}",29/08/2025 00:00,29/08/2025 00:00
USR-03141,2,"Número, Teléfono, Numero, Puedo, Llamar",1,50.00%,"{""Ruido"": 1, ""Número, Teléfono, Numero, Puedo, Llamar"": 1}",01/09/2025 00:00,01/09/2025 00:00
USR-03142,5,"Puedo, Física, Si, Cómo, Solicitar",1,0.00%,"{""Puedo, Física, Si, Cómo, Solicitar"": 5}",16/10/2025 00:00,16/10/2025 00:00
USR-03143,1,"Puedo, Física, Si, Cómo, Solicitar",2,0.00%,"{""Puedo, Física, Si, Cómo, Solicitar"": 1}",,
USR-03144,1,"Meses, 000, Enganche, 60, 36",1,0.00%,"{""Meses, 000, Enganche, 60, 36"": 1}",14/10/2025 00:00,14/10/2025 00:00
USR-03145,3,"Tiempo, Cuánto, Horario, Tarda, Días",1,66.67%,"{""Ruido"": 2, ""Tiempo, Cuánto, Horario, Tarda, Días"": 1}",13/10/2025 00:00,13/10/2025 00:00
USR-03146,30,"Cancelar, Quiero, Cómo, Cancelo, Eliminar",1,36.67%,"{""Ruido"": 11, ""Cancelar, Quiero, Cómo, Cancelo, Eliminar"": 10, ""Si, Puedo, Quiero, Aparece, Cómo"": 5, ""Número, Teléfono, Numero, Puedo, Llamar"": 2, ""Tiempo, Cuánto, Horario, Tarda, Días"": 1, ""Puedo, Bancos, Banregio, Independiente, Transferencia"": 1}",22/10/2025 00:00,24/10/2025 00:00
USR-03147,4,"Puedo, Física, Si, Cómo, Solicitar",1,50.00%,"{""Ruido"": 2, ""Puedo, Física, Si, Cómo, Solicitar"": 1, ""Aplicación, Puedo, Cómo, Actualizar, Si"": 1}",09/09/2025 00:00,09/09/2025 00:00
USR-03148,3,"Puedo, Física, Si, Cómo, Solicitar",1,66.67%,"{""Ruido"": 2, ""Puedo, Física, Si, Cómo, Solicitar"": 1}",09/09/2025 00:00,11/09/2025 00:00
USR-03149,6,"Auto, Crédito, Quiero, Automotriz, Credito",1,66.67%,"{""Ruido"": 4, ""Auto, Crédito, Quiero, Automotriz, Credito"": 1, ""Meses, 000, Enganche, 60, 36"": 1}",11/10/2025 00:00,11/10/2025 00:00
USR-03150,4,"Meses, 000, Enganche, 60, 36",1,25.00%,"{""Ruido"": 1, ""Meses, 000, Enganche, 60, 36"": 1, ""Pesos, Mil, Meses, 000, Si"": 1, ""Crédito, Personal, Credito, Puedo, Quiero"": 1}",24/10/2025 00:00,24/10/2025 00:00
USR-03151,2,"Cancelar, Quiero, Cómo, Cancelo, Eliminar",1,50.00%,"{""Ruido"": 1, ""Cancelar, Quiero, Cómo, Cancelo, Eliminar"": 1}",13/08/2025 00:00,15/08/2025 00:00
USR-03152,2,"Norte, Pal, Puedo, Extranjero, Beneficios",1,0.00%,"{""Norte, Pal, Puedo, Extranjero, Beneficios"": 2}",14/11/2025 00:00,14/11/2025 00:00
USR-03153,4,"Aplicación, Puedo, Cómo, Actualizar, Si",1,75.00%,"{""Ruido"": 3, ""Aplicación, Puedo, Cómo, Actualizar, Si"": 1}",26/09/2025 00:00,26/09/2025 00:00
USR-03154,3,"Si, Puedo, Quiero, Aparece, Cómo",1,66.67%,"{""Ruido"": 2, ""Si, Puedo, Quiero, Aparece, Cómo"": 1}",12/09/2025 00:00,12/09/2025 00:00
USR-03155,1,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 1}",08/09/2025 00:00,08/09/2025 00:00
USR-03156,3,"Hablar, Asesor, Quiero, Ejecutivo, Puedo",1,0.00%,"{""Hablar, Asesor, Quiero, Ejecutivo, Puedo"": 1, ""Transferencia, Transferencias, Puedo, Transferir, Hacer"": 1, ""Clabe, Cambio, Cambiar, Si, Cambió"": 1}",29/07/2025 00:00,04/08/2025 00:00
USR-03157,4,"Dinero, Pago, Puedo, Compra, Si",1,0.00%,"{""Dinero, Pago, Puedo, Compra, Si"": 2, ""Si, Puedo, Quiero, Aparece, Cómo"": 1, ""Transferencia, Transferencias, Puedo, Transferir, Hacer"": 1}",28/10/2025 00:00,29/10/2025 00:00
USR-03158,3,"Si, Puedo, Quiero, Aparece, Cómo",1,66.67%,"{""Ruido"": 2, ""Si, Puedo, Quiero, Aparece, Cómo"": 1}",30/08/2025 00:00,30/08/2025 00:00
USR-03159,6,"Puedo, Bancos, Banregio, Independiente, Transferencia",1,83.33%,"{""Ruido"": 5, ""Puedo, Bancos, Banregio, Independiente, Transferencia"": 1}",09/08/2025 00:00,05/09/2025 00:00
USR-03160,3,"Préstamo, Personal, Quiero, Puedo, Solicitar",1,33.33%,"{""Préstamo, Personal, Quiero, Puedo, Solicitar"": 1, ""Si, Puedo, Quiero, Aparece, Cómo"": 1, ""Ruido"": 1}",28/10/2025 00:00,28/10/2025 00:00
USR-03161,1,"Puedo, Física, Si, Cómo, Solicitar",2,0.00%,"{""Puedo, Física, Si, Cómo, Solicitar"": 1}",,
USR-03162,3,"Dinero, Pago, Puedo, Compra, Si",1,33.33%,"{""Ruido"": 1, ""Dinero, Pago, Puedo, Compra, Si"": 1, ""Si, Puedo, Quiero, Aparece, Cómo"": 1}",26/08/2025 00:00,26/08/2025 00:00
USR-03163,2,"Débito, Deuda, Debito, Crédito, Si",1,50.00%,"{""Ruido"": 1, ""Débito, Deuda, Debito, Crédito, Si"": 1}",17/09/2025 00:00,17/09/2025 00:00
USR-03164,3,"Cancelar, Crédito, Quiero, Cómo, Credito",1,0.00%,"{""Cancelar, Crédito, Quiero, Cómo, Credito"": 3}",10/09/2025 00:00,10/09/2025 00:00
USR-03165,4,"Inversión, Puedo, Cómo, Inversiones, Invertir",1,0.00%,"{""Inversión, Puedo, Cómo, Inversiones, Invertir"": 3, ""Auto, 000, Enganche, Quiero, Meses"": 1}",02/08/2025 00:00,02/08/2025 00:00
USR-03166,3,"Puedo, Física, Si, Cómo, Solicitar",1,66.67%,"{""Ruido"": 2, ""Puedo, Física, Si, Cómo, Solicitar"": 1}",16/09/2025 00:00,16/09/2025 00:00
USR-03167,1,"Oxxo, Depositar, Puedo, Hacer, Pueden",1,0.00%,"{""Oxxo, Depositar, Puedo, Hacer, Pueden"": 1}",01/10/2025 00:00,01/10/2025 00:00
USR-03168,2,"Transferencia, Transferencias, Puedo, Transferir, Hacer",1,50.00%,"{""Ruido"": 1, ""Transferencia, Transferencias, Puedo, Transferir, Hacer"": 1}",26/10/2025 00:00,27/10/2025 00:00
USR-03169,2,"Inversión, Puedo, Cómo, Inversiones, Invertir",1,0.00%,"{""Inversión, Puedo, Cómo, Inversiones, Invertir"": 1, ""Pesos, Mil, Meses, 000, Si"": 1}",16/08/2025 00:00,16/08/2025 00:00
USR-03170,1,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 1}",02/09/2025 00:00,02/09/2025 00:00
USR-03171,2,"Si, Puedo, Quiero, Aparece, Cómo",1,50.00%,"{""Ruido"": 1, ""Si, Puedo, Quiero, Aparece, Cómo"": 1}",17/07/2025 00:00,25/07/2025 00:00
USR-03172,3,"Puedo, Física, Si, Cómo, Solicitar",1,33.33%,"{""Puedo, Física, Si, Cómo, Solicitar"": 2, ""Ruido"": 1}",23/09/2025 00:00,20/10/2025 00:00
USR-03173,3,"Cancelar, Quiero, Cómo, Cancelo, Eliminar",1,0.00%,"{""Cancelar, Quiero, Cómo, Cancelo, Eliminar"": 1, ""Aplicación, Puedo, Cómo, Actualizar, Si"": 1, ""Si, Puedo, Quiero, Aparece, Cómo"": 1}",14/10/2025 00:00,14/10/2025 00:00
USR-03174,3,"Atención, Número, Clientes, Cliente, Centro",1,0.00%,"{""Atención, Número, Clientes, Cliente, Centro"": 1, ""Crédito, Personal, Credito, Puedo, Quiero"": 1, ""Hablar, Asesor, Quiero, Ejecutivo, Puedo"": 1}",02/10/2025 00:00,02/10/2025 00:00
USR-03175,3,"Cómo, Abrir, Puedo, Si, Validar",1,33.33%,"{""Ruido"": 1, ""Cómo, Abrir, Puedo, Si, Validar"": 1, ""Aplicación, Puedo, Cómo, Actualizar, Si"": 1}",01/11/2025 00:00,01/11/2025 00:00
USR-03176,1,"Puedo, Física, Si, Cómo, Solicitar",1,0.00%,"{""Puedo, Física, Si, Cómo, Solicitar"": 1}",02/08/2025 00:00,02/08/2025 00:00
USR-03177,4,"Préstamo, Personal, Quiero, Puedo, Solicitar",1,0.00%,"{""Préstamo, Personal, Quiero, Puedo, Solicitar"": 2, ""Meses, 000, Enganche, 60, 36"": 1, ""Crédito, Personal, Credito, Puedo, Quiero"": 1}",19/08/2025 00:00,19/08/2025 00:00
USR-03178,2,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 2}",06/10/2025 00:00,06/10/2025 00:00
USR-03179,3,"Dinero, Pago, Puedo, Compra, Si",2,33.33%,"{""Ruido"": 1, ""Dinero, Pago, Puedo, Compra, Si"": 1, ""Débito, Deuda, Debito, Crédito, Si"": 1}",,
USR-03180,9,"Puedo, Bancos, Banregio, Independiente, Transferencia",1,0.00%,"{""Puedo, Bancos, Banregio, Independiente, Transferencia"": 2, ""Puedo, Física, Si, Cómo, Solicitar"": 2, ""Gracias, Muchas, Bien, Momento, Ok"": 1, ""Si, Puedo, Quiero, Aparece, Cómo"": 1, ""Clabe, Cambio, Cambiar, Si, Cambió"": 1, ""Dinero, Pago, Puedo, Compra, Si"": 1, ""Transferencia, Transferencias, Puedo, Transferir, Hacer"": 1}",20/07/2025 00:00,20/08/2025 00:00
USR-03181,3,"Si, Puedo, Quiero, Aparece, Cómo",2,66.67%,"{""Ruido"": 2, ""Si, Puedo, Quiero, Aparece, Cómo"": 1}",31/10/2025 00:00,31/10/2025 00:00
USR-03182,2,"Atención, Número, Clientes, Cliente, Centro",1,0.00%,"{""Atención, Número, Clientes, Cliente, Centro"": 1, ""Número, Teléfono, Numero, Puedo, Llamar"": 1}",13/10/2025 00:00,13/10/2025 00:00
USR-03183,3,"Crédito, Personal, Credito, Puedo, Quiero",1,33.33%,"{""Crédito, Personal, Credito, Puedo, Quiero"": 2, ""Ruido"": 1}",08/09/2025 00:00,08/09/2025 00:00
USR-03184,2,"Débito, Deuda, Debito, Crédito, Si",1,50.00%,"{""Ruido"": 1, ""Débito, Deuda, Debito, Crédito, Si"": 1}",27/08/2025 00:00,27/08/2025 00:00
USR-03185,1,"Si, Puedo, Quiero, Aparece, Cómo",1,0.00%,"{""Si, Puedo, Quiero, Aparece, Cómo"": 1}",08/08/2025 00:00,08/08/2025 00:00
USR-03186,1,"Puedo, Física, Si, Cómo, Solicitar",1,0.00%,"{""Puedo, Física, Si, Cómo, Solicitar"": 1}",25/08/2025 00:00,25/08/2025 00:00
USR-03187,2,"Auto, 000, Enganche, Quiero, Meses",1,50.00%,"{""Ruido"": 1, ""Auto, 000, Enganche, Quiero, Meses"": 1}",14/11/2025 00:00,14/11/2025 00:00
USR-03188,2,"Pay, Apple, Verificar, Cómo, Puedo",1,50.00%,"{""Ruido"": 1, ""Pay, Apple, Verificar, Cómo, Puedo"": 1}",19/08/2025 00:00,19/08/2025 00:00
USR-03189,4,"Si, Puedo, Quiero, Aparece, Cómo",1,50.00%,"{""Ruido"": 2, ""Si, Puedo, Quiero, Aparece, Cómo"": 2}",23/08/2025 00:00,23/08/2025 00:00
USR-03190,2,"Puedo, Bancos, Banregio, Independiente, Transferencia",1,50.00%,"{""Puedo, Bancos, Banregio, Independiente, Transferencia"": 1, ""Ruido"": 1}",11/10/2025 00:00,11/10/2025 00:00
USR-03191,1,"Transferencia, Transferencias, Puedo, Transferir, Hacer",1,0.00%,"{""Transferencia, Transferencias, Puedo, Transferir, Hacer"": 1}",02/10/2025 00:00,02/10/2025 00:00
USR-03192,3,"Si, Puedo, Quiero, Aparece, Cómo",1,33.33%,"{""Ruido"": 1, ""Si, Puedo, Quiero, Aparece, Cómo"": 1, ""Crédito, Aparece, Puedo, Credito, Garantizada"": 1}",24/10/2025 00:00,24/10/2025 00:00
USR-03193,4,"Puedo, Física, Si, Cómo, Solicitar",1,50.00%,"{""Ruido"": 2, ""Puedo, Física, Si, Cómo, Solicitar"": 1, ""Tiempo, Cuánto, Horario, Tarda, Días"": 1}",17/08/2025 00:00,05/09/2025 00:00
USR-03194,4,"Dinero, Pago, Puedo, Compra, Si",1,25.00%,"{""Dinero, Pago, Puedo, Compra, Si"": 2, ""Ruido"": 1, ""Clave, Interbancaria, Puedo, Ver, Dónde"": 1}",30/10/2025 00:00,31/10/2025 00:00
USR-03195,4,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 4}",23/08/2025 00:00,23/08/2025 00:00
USR-03196,2,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 2}",16/11/2025 00:00,16/11/2025 00:00
USR-03197,2,"Puedo, Bancos, Banregio, Independiente, Transferencia",1,50.00%,"{""Puedo, Bancos, Banregio, Independiente, Transferencia"": 1, ""Ruido"": 1}",06/09/2025 00:00,06/09/2025 00:00
USR-03198,2,"Tiempo, Cuánto, Horario, Tarda, Días",1,50.00%,"{""Ruido"": 1, ""Tiempo, Cuánto, Horario, Tarda, Días"": 1}",25/08/2025 00:00,25/08/2025 00:00
USR-03199,1,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 1}",16/08/2025 00:00,16/08/2025 00:00
USR-03200,1,"Puedo, Física, Si, Cómo, Solicitar",1,0.00%,"{""Puedo, Física, Si, Cómo, Solicitar"": 1}",03/10/2025 00:00,03/10/2025 00:00
USR-03202,2,"Dinero, Pago, Puedo, Compra, Si",1,0.00%,"{""Dinero, Pago, Puedo, Compra, Si"": 1, ""Límite, Depósitos, Puedo, Cuál, Depósito"": 1}",03/09/2025 00:00,03/09/2025 00:00
USR-03203,3,"Puedo, Física, Si, Cómo, Solicitar",1,66.67%,"{""Ruido"": 2, ""Puedo, Física, Si, Cómo, Solicitar"": 1}",04/10/2025 00:00,04/10/2025 00:00
USR-03204,3,"Atención, Número, Clientes, Cliente, Centro",1,33.33%,"{""Ruido"": 1, ""Atención, Número, Clientes, Cliente, Centro"": 1, ""Hablar, Asesor, Quiero, Ejecutivo, Puedo"": 1}",04/10/2025 00:00,18/10/2025 00:00
USR-03205,5,"Puedo, Física, Si, Cómo, Solicitar",1,20.00%,"{""Puedo, Física, Si, Cómo, Solicitar"": 2, ""Cargo, Reportar, Reconocido, Cómo, Reporte"": 1, ""Pesos, Mil, Meses, 000, Si"": 1, ""Ruido"": 1}",15/10/2025 00:00,15/10/2025 00:00
USR-03206,2,"Norte, Pal, Puedo, Extranjero, Beneficios",1,0.00%,"{""Norte, Pal, Puedo, Extranjero, Beneficios"": 2}",16/08/2025 00:00,16/08/2025 00:00
USR-03207,2,"Atención, Número, Clientes, Cliente, Centro",1,50.00%,"{""Atención, Número, Clientes, Cliente, Centro"": 1, ""Ruido"": 1}",04/09/2025 00:00,07/09/2025 00:00
USR-03208,3,"Si, Puedo, Quiero, Aparece, Cómo",1,66.67%,"{""Ruido"": 2, ""Si, Puedo, Quiero, Aparece, Cómo"": 1}",08/07/2025 00:00,08/07/2025 00:00
USR-03209,2,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 2}",08/10/2025 00:00,08/10/2025 00:00
USR-03210,4,"Pesos, Mil, Meses, 000, Si",1,50.00%,"{""Ruido"": 2, ""Pesos, Mil, Meses, 000, Si"": 1, ""Si, Puedo, Quiero, Aparece, Cómo"": 1}",18/09/2025 00:00,18/09/2025 00:00
USR-03211,1,"Puedo, Física, Si, Cómo, Solicitar",1,0.00%,"{""Puedo, Física, Si, Cómo, Solicitar"": 1}",15/07/2025 00:00,15/07/2025 00:00
USR-03212,3,"Seguro, Auto, Póliza, Puedo, Quiero",1,0.00%,"{""Seguro, Auto, Póliza, Puedo, Quiero"": 1, ""Correo, Cambiar, Electrónico, Puedo, Cambio"": 1, ""Hablar, Asesor, Quiero, Ejecutivo, Puedo"": 1}",24/07/2025 00:00,24/07/2025 00:00
USR-03213,2,"Puedo, Física, Si, Cómo, Solicitar",1,0.00%,"{""Puedo, Física, Si, Cómo, Solicitar"": 1, ""Débito, Deuda, Debito, Crédito, Si"": 1}",26/08/2025 00:00,08/09/2025 00:00
USR-03214,1,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 1}",09/08/2025 00:00,09/08/2025 00:00
USR-03215,1,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 1}",08/10/2025 00:00,08/10/2025 00:00
USR-03216,4,"Si, Puedo, Quiero, Aparece, Cómo",1,75.00%,"{""Ruido"": 3, ""Si, Puedo, Quiero, Aparece, Cómo"": 1}",01/09/2025 00:00,01/09/2025 00:00
USR-03217,1,Desconocido/Ninguno,2,100.00%,"{""Ruido"": 1}",,
USR-03218,3,"Puedo, Bancos, Banregio, Independiente, Transferencia",1,66.67%,"{""Ruido"": 2, ""Puedo, Bancos, Banregio, Independiente, Transferencia"": 1}",28/08/2025 00:00,28/08/2025 00:00
USR-03219,1,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 1}",20/10/2025 00:00,20/10/2025 00:00
USR-03220,3,"Si, Puedo, Quiero, Aparece, Cómo",1,66.67%,"{""Ruido"": 2, ""Si, Puedo, Quiero, Aparece, Cómo"": 1}",01/09/2025 00:00,01/09/2025 00:00
USR-03221,1,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 1}",13/08/2025 00:00,13/08/2025 00:00
USR-03222,4,"Hablar, Asesor, Quiero, Ejecutivo, Puedo",1,50.00%,"{""Ruido"": 2, ""Hablar, Asesor, Quiero, Ejecutivo, Puedo"": 1, ""Número, Teléfono, Numero, Puedo, Llamar"": 1}",01/10/2025 00:00,01/10/2025 00:00
USR-03223,1,"Dinero, Pago, Puedo, Compra, Si",1,0.00%,"{""Dinero, Pago, Puedo, Compra, Si"": 1}",20/08/2025 00:00,20/08/2025 00:00
USR-03225,1,"Si, Puedo, Quiero, Aparece, Cómo",1,0.00%,"{""Si, Puedo, Quiero, Aparece, Cómo"": 1}",22/09/2025 00:00,22/09/2025 00:00
USR-03226,2,"Préstamo, Personal, Quiero, Puedo, Solicitar",1,0.00%,"{""Préstamo, Personal, Quiero, Puedo, Solicitar"": 2}",11/10/2025 00:00,11/10/2025 00:00
USR-03227,1,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 1}",16/08/2025 00:00,16/08/2025 00:00
USR-03228,3,"Si, Puedo, Quiero, Aparece, Cómo",1,33.33%,"{""Ruido"": 1, ""Si, Puedo, Quiero, Aparece, Cómo"": 1, ""Hablar, Asesor, Quiero, Ejecutivo, Puedo"": 1}",19/07/2025 00:00,19/07/2025 00:00
USR-03229,2,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 2}",23/09/2025 00:00,23/09/2025 00:00
USR-03230,2,"Atención, Número, Clientes, Cliente, Centro",1,50.00%,"{""Ruido"": 1, ""Atención, Número, Clientes, Cliente, Centro"": 1}",13/10/2025 00:00,13/10/2025 00:00
USR-03231,2,"Aplicación, Puedo, Cómo, Actualizar, Si",1,0.00%,"{""Aplicación, Puedo, Cómo, Actualizar, Si"": 1, ""Token, Correcto, Encuentro, Cómo, Dice"": 1}",10/10/2025 00:00,10/10/2025 00:00
USR-03232,2,"Correo, Cambiar, Electrónico, Puedo, Cambio",1,0.00%,"{""Correo, Cambiar, Electrónico, Puedo, Cambio"": 1, ""Transferencia, Transferencias, Puedo, Transferir, Hacer"": 1}",24/09/2025 00:00,30/09/2025 00:00
USR-03233,2,"Cargo, Reportar, Reconocido, Cómo, Reporte",1,0.00%,"{""Cargo, Reportar, Reconocido, Cómo, Reporte"": 1, ""Dinero, Pago, Puedo, Compra, Si"": 1}",08/08/2025 00:00,24/08/2025 00:00
USR-03234,2,"Cancelar, Quiero, Cómo, Cancelo, Eliminar",1,0.00%,"{""Cancelar, Quiero, Cómo, Cancelo, Eliminar"": 1, ""Transferencia, Transferencias, Puedo, Transferir, Hacer"": 1}",26/08/2025 00:00,29/08/2025 00:00
USR-03235,1,"Cancelar, Crédito, Quiero, Cómo, Credito",1,0.00%,"{""Cancelar, Crédito, Quiero, Cómo, Credito"": 1}",13/08/2025 00:00,13/08/2025 00:00
USR-03236,3,"Número, Teléfono, Numero, Puedo, Llamar",1,33.33%,"{""Ruido"": 1, ""Número, Teléfono, Numero, Puedo, Llamar"": 1, ""Norte, Pal, Puedo, Extranjero, Beneficios"": 1}",22/09/2025 00:00,22/09/2025 00:00
USR-03237,1,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 1}",19/10/2025 00:00,19/10/2025 00:00
USR-03238,10,"Puedo, Física, Si, Cómo, Solicitar",1,20.00%,"{""Puedo, Física, Si, Cómo, Solicitar"": 4, ""Virtual, Puedo, Cambiar, Cómo, Si"": 2, ""Ruido"": 2, ""Transferencia, Transferencias, Puedo, Transferir, Hacer"": 1, ""Gracias, Muchas, Bien, Momento, Ok"": 1}",17/10/2025 00:00,18/10/2025 00:00
USR-03239,2,"Oxxo, Depositar, Puedo, Hacer, Pueden",1,50.00%,"{""Oxxo, Depositar, Puedo, Hacer, Pueden"": 1, ""Ruido"": 1}",05/08/2025 00:00,21/08/2025 00:00
USR-03240,1,"Hablar, Asesor, Quiero, Ejecutivo, Puedo",1,0.00%,"{""Hablar, Asesor, Quiero, Ejecutivo, Puedo"": 1}",01/11/2025 00:00,01/11/2025 00:00
USR-03241,3,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 3}",02/09/2025 00:00,02/09/2025 00:00
USR-03242,1,Desconocido/Ninguno,1,100.00%,"{""Ruido"": 1}",13/09/2025 00:00,13/09/2025 00:00
USR-03243,3,"Inversión, Puedo, Cómo, Inversiones, Invertir",1,66.67%,"{""Ruido"": 2, ""Inversión, Puedo, Cómo, Inversiones, Invertir"": 1}",08/09/2025 00:00,11/09/2025 00:00
USR-03244,4,Desconocido/Ninguno,2,100.00%,"{""Ruido"": 4}",,
USR-03245,2,"Si, Puedo, Quiero, Aparece, Cómo",1,50.00%,"{""Ruido"": 1, ""Si, Puedo, Quiero, Aparece, Cómo"": 1}",08/08/2025 00:00,08/08/2025 00:00
USR-03246,5,"Cómo, Abrir, Puedo, Si, Validar",1,80.00%,"{""Ruido"": 4, ""Cómo, Abrir, Puedo, Si, Validar"": 1}",23/10/2025 00:00,10/11/2025 00:00
USR-03247,3,"Auto, 000, Enganche, Quiero, Meses",1,33.33%,"{""Auto, 000, Enganche, Quiero, Meses"": 1, ""Ruido"": 1, ""Crédito, Personal, Credito, Puedo, Quiero"": 1}",20/09/2025 00:00,20/09/2025 00:00
USR-03248,3,"Meses, 000, Enganche, 60, 36",1,66.67%,"{""Ruido"": 2, ""Meses, 000, Enganche, 60, 36"": 1}",20/08/2025 00:00,20/08/2025 00:00
USR-03249,14,"Puedo, Física, Si, Cómo, Solicitar",1,42.86%,"{""Ruido"": 6, ""Puedo, Física, Si, Cómo, Solicitar"": 3, ""Si, Puedo, Quiero, Aparece, Cómo"": 3, ""Aplicación, Puedo, Cómo, Actualizar, Si"": 1, ""Débito, Deuda, Debito, Crédito, Si"": 1}",29/09/2025 00:00,17/10/2025 00:00
