user_id,nodos_financieros,nodos_conversacionales,tags_personalidad,perfil_final_tda,necesidad_principal
USR-03350,['cube25_cluster0'],"['cube26_cluster98', 'cube27_cluster3', 'cube34_cluster3', 'cube35_cluster43']",['Usuario Mobile-First (Ecosistema Huawei)'],Especialista: Usuario Mobile-First (Ecosistema Huawei) + Usuario en Riesgo de Abandono (Inactivo),"Puedo, Física, Si, Cómo, Solicitar"
USR-03351,"['cube89_cluster2', 'cube108_cluster1']","['cube26_cluster1', 'cube27_cluster28', 'cube34_cluster38', 'cube35_cluster18']","['Usuario de Movilidad Urbana (Apps/Transporte)', 'Perfil de Alerta (Comportamiento Inusual)']",Especialista: Perfil de Alerta (Comportamiento Inusual) + patron_uso_atipico,"Puedo, Física, Si, Cómo, Solicitar"
USR-03352,"['cube127_cluster0', 'cube147_cluster0']","['cube6_cluster22', 'cube7_cluster48', 'cube14_cluster23', 'cube15_cluster11']",['Usuario Tradicional (Uso de Efectivo)'],Especialista: Usuario Tradicional (Uso de Efectivo) + frecuencia_retiro_cajero,"Préstamo, Personal, Quiero, Puedo, Solicitar"
USR-03353,['cube265_cluster0'],"['cube22_cluster18', 'cube23_cluster32']",['Usuario de Movilidad Urbana (Apps/Transporte)'],Especialista: Usuario de Movilidad Urbana (Apps/Transporte) + Usuario Tradicional (Uso de Efectivo),"Si, Puedo, Quiero, Aparece, Cómo"
USR-03354,"['cube228_cluster0', 'cube243_cluster0']",['cube3_cluster17'],"['Usuario de Movilidad Urbana (Apps/Transporte)', 'Usuario Estándar']",Especialista: frecuencia_retiro_cajero + Usuario Tradicional (Uso de Efectivo),"Cancelar, Quiero, Cómo, Cancelo, Eliminar"
USR-03355,['cube114_cluster1'],"['cube15_cluster76', 'cube24_cluster41']",['Usuario Estándar'],Especialista: frecuencia_retiro_cajero + Usuario Tradicional (Uso de Efectivo),"Dinero, Pago, Puedo, Compra, Si"
USR-03356,"['cube228_cluster1', 'cube243_cluster1']","['cube16_cluster97', 'cube17_cluster16', 'cube25_cluster44', 'cube26_cluster59']","['Estudiante o Profesional en Formación', 'Viajero Frecuente']",Especialista: Viajero Frecuente + Estudiante o Profesional en Formación,"Dinero, Pago, Puedo, Compra, Si"
USR-03357,"['cube67_cluster0', 'cube86_cluster2']",['cube46_cluster4'],"['Cliente de Nómina (Alta Fidelidad)', 'Usuario Estándar']",Especialista: Cliente de Nómina (Alta Fidelidad) + Usuario de Movilidad Urbana (Apps/Transporte),"Pay, Apple, Verificar, Cómo, Puedo"
USR-03358,"['cube122_cluster0', 'cube123_cluster2']","['cube5_cluster7', 'cube6_cluster13', 'cube13_cluster8', 'cube14_cluster49']",['Usuario Estándar'],Especialista: frecuencia_retiro_cajero + Usuario Tradicional (Uso de Efectivo),"Auto, 000, Enganche, Quiero, Meses"
USR-03359,"['cube224_cluster0', 'cube225_cluster2']",['cube25_cluster43'],"['Entusiasta de la Marca (Hey Fan Shop)', 'Usuario en Riesgo de Abandono (Inactivo)']",Especialista: Entusiasta de la Marca (Hey Fan Shop) + Usuario en Riesgo de Abandono (Inactivo),Desconocido/Ninguno
USR-03360,"['cube260_cluster0', 'cube261_cluster1']","['cube33_cluster54', 'cube34_cluster16', 'cube40_cluster17', 'cube41_cluster19']","['Inversor en Educación', 'Usuario Estándar']",Especialista: Inversor en Educación + promedio_salud,Desconocido/Ninguno
USR-03361,"['cube122_cluster2', 'cube123_cluster0']",['cube33_cluster78'],['Viajero Frecuente'],Especialista: Viajero Frecuente + Inversor en Educación,"Transferencia, Transferencias, Puedo, Transferir, Hacer"
USR-03362,['cube82_cluster0'],"['cube16_cluster1', 'cube25_cluster31']",['Perfil de Alerta (Comportamiento Inusual)'],Especialista: Perfil de Alerta (Comportamiento Inusual) + patron_uso_atipico,"Aplicación, Puedo, Cómo, Actualizar, Si"
USR-03363,"['cube255_cluster0', 'cube267_cluster0']","['cube28_cluster26', 'cube29_cluster6']",['Usuario Estándar'],Especialista: frecuencia_retiro_cajero + Usuario Tradicional (Uso de Efectivo),"Cancelar, Crédito, Quiero, Cómo, Credito"
USR-03364,"['cube5_cluster0', 'cube6_cluster0']","['cube7_cluster5', 'cube15_cluster59']",['Usuario de Movilidad Urbana (Apps/Transporte)'],Especialista: Usuario de Movilidad Urbana (Apps/Transporte) + Cliente de Nómina (Alta Fidelidad),"Si, Puedo, Quiero, Aparece, Cómo"
USR-03365,"['cube52_cluster0', 'cube53_cluster1', 'cube69_cluster1', 'cube70_cluster1']","['cube33_cluster37', 'cube40_cluster16']",['Perfil Internacional / Global User'],Especialista: Perfil Internacional / Global User + Perfil de Ocio y Entretenimiento,"Débito, Deuda, Debito, Crédito, Si"
USR-03366,"['cube80_cluster2', 'cube100_cluster2']","['cube25_cluster1', 'cube26_cluster140']",['Usuario Estándar'],Especialista: promedio_transporte + Responsable del Hogar (Gasto Elevado),"Dinero, Pago, Puedo, Compra, Si"
USR-03367,"['cube182_cluster2', 'cube195_cluster2']","['cube26_cluster167', 'cube27_cluster52']",['Perfil de Alerta (Comportamiento Inusual)'],Especialista: Perfil de Alerta (Comportamiento Inusual) + frecuencia_servicios_digitales,"Crédito, Credito, Solicitar, Quiero, Puedo"
USR-03368,"['cube117_cluster1', 'cube135_cluster0']","['cube15_cluster92', 'cube24_cluster57']","['Usuario en Riesgo de Abandono (Inactivo)', 'Usuario Tradicional (Uso de Efectivo)']",Especialista: Usuario en Riesgo de Abandono (Inactivo) + Usuario Mobile-First (Ecosistema Huawei),"Dinero, Pago, Puedo, Compra, Si"
USR-03369,"['cube149_cluster0', 'cube150_cluster0']",['cube29_cluster2'],['Perfil Internacional / Global User'],Especialista: Perfil Internacional / Global User + patron_uso_atipico,"Cancelar, Quiero, Cómo, Cancelo, Eliminar"
USR-03370,"['cube238_cluster2', 'cube253_cluster0']","['cube24_cluster11', 'cube25_cluster47']","['Cliente de Nómina (Alta Fidelidad)', 'Usuario Estándar']",Especialista: patron_uso_atipico + Cliente de Nómina (Alta Fidelidad),"Si, Puedo, Quiero, Aparece, Cómo"
USR-03371,"['cube31_cluster1', 'cube48_cluster0']",['cube27_cluster22'],"['Cliente de Nómina (Alta Fidelidad)', 'Usuario Tradicional (Uso de Efectivo)']",Especialista: Cliente de Nómina (Alta Fidelidad) + Usuario de Movilidad Urbana (Apps/Transporte),"Dinero, Pago, Puedo, Compra, Si"
USR-03372,['cube205_cluster0'],['cube33_cluster60'],['Perfil de Alerta (Comportamiento Inusual)'],Especialista: Perfil de Alerta (Comportamiento Inusual) + patron_uso_atipico,"Transferencia, Transferencias, Puedo, Transferir, Hacer"
USR-03373,"['cube126_cluster0', 'cube146_cluster0']","['cube28_cluster7', 'cube36_cluster2']",['Usuario Estándar'],Especialista: patron_uso_atipico,"Cancelar, Quiero, Cómo, Cancelo, Eliminar"
USR-03374,['cube34_cluster0'],"['cube14_cluster9', 'cube23_cluster16']",['Usuario Tradicional (Uso de Efectivo)'],Especialista: Usuario Tradicional (Uso de Efectivo) + frecuencia_retiro_cajero,"Atención, Número, Clientes, Cliente, Centro"
USR-03375,"['cube89_cluster2', 'cube108_cluster1']","['cube7_cluster21', 'cube8_cluster24', 'cube15_cluster43', 'cube16_cluster55']","['Usuario de Movilidad Urbana (Apps/Transporte)', 'Perfil de Alerta (Comportamiento Inusual)']",Especialista: Perfil de Alerta (Comportamiento Inusual) + patron_uso_atipico,"Tiempo, Cuánto, Horario, Tarda, Días"
USR-03376,"['cube166_cluster0', 'cube167_cluster2']","['cube16_cluster52', 'cube17_cluster16', 'cube25_cluster145', 'cube26_cluster30']",['Responsable del Hogar (Gasto Elevado)'],Especialista: Responsable del Hogar (Gasto Elevado) + Perfil Tech-Savvy (Adoptador de Tecnología),"Transferencia, Transferencias, Puedo, Transferir, Hacer"
USR-03377,['cube84_cluster2'],"['cube27_cluster12', 'cube35_cluster39']",['Estudiante o Profesional en Formación'],Especialista: Estudiante o Profesional en Formación + Viajero Frecuente,"Norte, Pal, Puedo, Extranjero, Beneficios"
USR-03378,"['cube263_cluster0', 'cube264_cluster2', 'cube276_cluster2', 'cube277_cluster0']","['cube24_cluster69', 'cube25_cluster70']","['Perfil de Ocio y Entretenimiento', 'Usuario Estándar']",Especialista: frecuencia_servicios_digitales + Perfil de Ocio y Entretenimiento,Desconocido/Ninguno
USR-03379,"['cube75_cluster2', 'cube95_cluster0']",['cube33_cluster53'],"['Inversor en Educación', 'Usuario Estándar']",Especialista: Inversor en Educación + Viajero Frecuente,"Transferencia, Transferencias, Puedo, Transferir, Hacer"
USR-03380,['cube193_cluster0'],"['cube41_cluster3', 'cube42_cluster2']",['Usuario Tradicional (Uso de Efectivo)'],Especialista: Usuario Tradicional (Uso de Efectivo) + frecuencia_retiro_cajero,"Si, Puedo, Quiero, Aparece, Cómo"
USR-03381,['cube48_cluster0'],"['cube22_cluster2', 'cube23_cluster12', 'cube30_cluster2', 'cube31_cluster19']",['Usuario Tradicional (Uso de Efectivo)'],Especialista: Usuario Tradicional (Uso de Efectivo) + frecuencia_retiro_cajero,"Hablar, Asesor, Quiero, Ejecutivo, Puedo"
USR-03382,"['cube119_cluster2', 'cube120_cluster0']",['cube46_cluster0'],"['Perfil de Alerta (Comportamiento Inusual)', 'Usuario Tradicional (Uso de Efectivo)']",Especialista: Perfil de Alerta (Comportamiento Inusual) + patron_uso_atipico,"Pay, Apple, Verificar, Cómo, Puedo"
USR-03383,"['cube130_cluster0', 'cube131_cluster0', 'cube149_cluster0', 'cube150_cluster2']",['cube17_cluster39'],"['Perfil Internacional / Global User', 'Usuario Estándar']",Especialista: frecuencia_servicios_digitales + Perfil de Ocio y Entretenimiento,"Límite, Depósitos, Puedo, Cuál, Depósito"
USR-03384,['cube56_cluster0'],"['cube28_cluster3', 'cube29_cluster5']",['Perfil Familiar (Gastos de Casa)'],Especialista: Perfil Familiar (Gastos de Casa) + Responsable del Hogar (Gasto Elevado),"Cancelar, Crédito, Quiero, Cómo, Credito"
USR-03385,"['cube126_cluster2', 'cube146_cluster2']","['cube26_cluster91', 'cube27_cluster0']",['Perfil Familiar (Gastos de Casa)'],Especialista: Perfil Familiar (Gastos de Casa) + Perfil Tech-Savvy (Adoptador de Tecnología),Desconocido/Ninguno
USR-03386,"['cube88_cluster0', 'cube107_cluster0']",['cube28_cluster12'],['Usuario Estándar'],Especialista: frecuencia_servicios_digitales + Perfil de Ocio y Entretenimiento,"Crédito, Aparece, Puedo, Credito, Garantizada"
USR-03387,"['cube249_cluster2', 'cube250_cluster0']","['cube24_cluster28', 'cube25_cluster75']",['Usuario Tradicional (Uso de Efectivo)'],Especialista: Usuario Tradicional (Uso de Efectivo) + patron_uso_atipico,"Gracias, Muchas, Bien, Momento, Ok"
USR-03388,['cube124_cluster0'],['cube3_cluster5'],['Usuario Estándar'],Especialista: promedio_restaurante + Viajero de Alto Valor (Premium),"Número, Teléfono, Numero, Puedo, Llamar"
USR-03389,"['cube134_cluster2', 'cube135_cluster0']",['cube15_cluster25'],"['Cliente de Nómina (Alta Fidelidad)', 'Usuario Tradicional (Uso de Efectivo)']",Especialista: Cliente de Nómina (Alta Fidelidad) + Usuario de Movilidad Urbana (Apps/Transporte),"Dinero, Pago, Puedo, Compra, Si"
USR-03390,"['cube31_cluster2', 'cube48_cluster1']",['cube28_cluster16'],['Estudiante o Profesional en Formación'],Especialista: Estudiante o Profesional en Formación + promedio_salud,"Crédito, Línea, Aumento, Aumentar, Linea"
USR-03391,"['cube122_cluster0', 'cube123_cluster2']","['cube15_cluster6', 'cube24_cluster76']",['Usuario Estándar'],Especialista: frecuencia_retiro_cajero + Usuario Tradicional (Uso de Efectivo),"Atención, Número, Clientes, Cliente, Centro"
USR-03392,['cube193_cluster0'],"['cube14_cluster19', 'cube23_cluster16']",['Usuario Tradicional (Uso de Efectivo)'],Especialista: Usuario Tradicional (Uso de Efectivo) + frecuencia_retiro_cajero,"Atención, Número, Clientes, Cliente, Centro"
USR-03393,"['cube270_cluster2', 'cube271_cluster0']","['cube8_cluster1', 'cube9_cluster4']",['Perfil Internacional / Global User'],Especialista: Perfil Internacional / Global User,Desconocido/Ninguno
USR-03394,"['cube218_cluster0', 'cube219_cluster0', 'cube235_cluster0', 'cube236_cluster2']","['cube27_cluster58', 'cube35_cluster4']",['Usuario Estándar'],Especialista: frecuencia_retiro_cajero + Usuario en Riesgo de Abandono (Inactivo),"Aplicación, Puedo, Cómo, Actualizar, Si"
USR-03395,"['cube265_cluster0', 'cube278_cluster0']","['cube26_cluster10', 'cube27_cluster31']","['Usuario de Movilidad Urbana (Apps/Transporte)', 'Usuario Tradicional (Uso de Efectivo)']",Especialista: Usuario de Movilidad Urbana (Apps/Transporte) + Usuario Tradicional (Uso de Efectivo),Desconocido/Ninguno
USR-03396,"['cube192_cluster1', 'cube193_cluster2']","['cube8_cluster38', 'cube9_cluster30']",['Usuario Estándar'],Especialista: frecuencia_servicios_digitales + Perfil Foodie (Gasto en Restaurantes),"Si, Puedo, Quiero, Aparece, Cómo"
USR-03397,['cube4_cluster0'],['cube25_cluster18'],['Usuario Tradicional (Uso de Efectivo)'],Especialista: Usuario Tradicional (Uso de Efectivo) + frecuencia_retiro_cajero,"Débito, Deuda, Debito, Crédito, Si"
USR-03398,['cube165_cluster0'],"['cube26_cluster144', 'cube27_cluster45']",['Perfil de Alerta (Comportamiento Inusual)'],Especialista: Perfil de Alerta (Comportamiento Inusual) + patron_uso_atipico,"Crédito, Aparece, Puedo, Credito, Garantizada"
USR-03399,['cube125_cluster2'],"['cube33_cluster96', 'cube40_cluster10']",['Usuario en Riesgo de Abandono (Inactivo)'],Especialista: Usuario en Riesgo de Abandono (Inactivo) + frecuencia_retiro_cajero,"Transferencia, Transferencias, Puedo, Transferir, Hacer"
USR-03400,"['cube215_cluster2', 'cube216_cluster0', 'cube232_cluster2', 'cube233_cluster2']",['cube23_cluster21'],"['Perfil Internacional / Global User', 'Usuario de Movilidad Urbana (Apps/Transporte)', 'Usuario en Riesgo de Abandono (Inactivo)']",Especialista: Perfil Internacional / Global User + Perfil de Ocio y Entretenimiento,"Puedo, Física, Si, Cómo, Solicitar"
USR-03401,"['cube239_cluster2', 'cube240_cluster2']","['cube17_cluster27', 'cube18_cluster33', 'cube26_cluster148', 'cube27_cluster6']",['Responsable del Hogar (Gasto Elevado)'],Especialista: Responsable del Hogar (Gasto Elevado) + Perfil Familiar (Gastos de Casa),"Clave, Interbancaria, Puedo, Ver, Dónde"
USR-03402,"['cube122_cluster0', 'cube123_cluster2']",['cube26_cluster158'],['Usuario Estándar'],Especialista: frecuencia_retiro_cajero + Usuario Tradicional (Uso de Efectivo),"Crédito, Credito, Solicitar, Quiero, Puedo"
USR-03403,['cube95_cluster2'],"['cube7_cluster25', 'cube8_cluster4']",['Perfil de Alerta (Comportamiento Inusual)'],Especialista: Perfil de Alerta (Comportamiento Inusual) + patron_uso_atipico,"Transferencia, Transferencias, Puedo, Transferir, Hacer"
USR-03404,"['cube239_cluster2', 'cube240_cluster2']",['cube26_cluster111'],['Responsable del Hogar (Gasto Elevado)'],Especialista: Responsable del Hogar (Gasto Elevado) + Perfil Familiar (Gastos de Casa),"Aplicación, Puedo, Cómo, Actualizar, Si"
USR-03405,['cube48_cluster2'],"['cube8_cluster36', 'cube9_cluster18']",['Perfil de Alerta (Comportamiento Inusual)'],Especialista: Perfil de Alerta (Comportamiento Inusual) + patron_uso_atipico,"Cargo, Reportar, Reconocido, Cómo, Reporte"
USR-03406,['cube193_cluster0'],"['cube10_cluster1', 'cube18_cluster4']",['Usuario Tradicional (Uso de Efectivo)'],Especialista: Usuario Tradicional (Uso de Efectivo) + frecuencia_retiro_cajero,"Clave, Interbancaria, Puedo, Ver, Dónde"
USR-03407,"['cube207_cluster1', 'cube208_cluster1', 'cube223_cluster1', 'cube224_cluster2']","['cube12_cluster7', 'cube21_cluster7']",['Estudiante o Profesional en Formación'],Especialista: Estudiante o Profesional en Formación + promedio_salud,
USR-03408,"['cube170_cluster2', 'cube171_cluster1', 'cube187_cluster1', 'cube188_cluster0']",['cube26_cluster68'],"['Usuario Estándar', 'Estudiante o Profesional en Formación', 'Viajero Frecuente']",Especialista: Viajero Frecuente + Estudiante o Profesional en Formación,"Puedo, Física, Si, Cómo, Solicitar"
USR-03409,"['cube121_cluster1', 'cube122_cluster1', 'cube139_cluster2', 'cube140_cluster0']","['cube5_cluster2', 'cube6_cluster26', 'cube13_cluster2', 'cube14_cluster17']","['Perfil Internacional / Global User', 'Usuario Estándar']",Especialista: promedio_salud + Inversor en Educación,"Pesos, Mil, Meses, 000, Si"
USR-03410,"['cube20_cluster1', 'cube32_cluster1']","['cube15_cluster49', 'cube16_cluster40']",['Usuario Tradicional (Uso de Efectivo)'],Especialista: Usuario Tradicional (Uso de Efectivo) + frecuencia_retiro_cajero,"Dinero, Pago, Puedo, Compra, Si"
USR-03411,"['cube134_cluster2', 'cube135_cluster0']","['cube7_cluster21', 'cube8_cluster16', 'cube15_cluster0', 'cube16_cluster16']","['Cliente de Nómina (Alta Fidelidad)', 'Usuario Tradicional (Uso de Efectivo)']",Especialista: Cliente de Nómina (Alta Fidelidad) + Usuario de Movilidad Urbana (Apps/Transporte),"Puedo, Física, Si, Cómo, Solicitar"
USR-03412,"['cube77_cluster2', 'cube78_cluster2']","['cube6_cluster44', 'cube14_cluster0']","['Cliente de Nómina (Alta Fidelidad)', 'Inversor en Educación']",Especialista: Cliente de Nómina (Alta Fidelidad) + Usuario de Movilidad Urbana (Apps/Transporte),"Débito, Deuda, Debito, Crédito, Si"
USR-03413,"['cube112_cluster2', 'cube113_cluster2', 'cube128_cluster2', 'cube129_cluster2']","['cube27_cluster77', 'cube35_cluster38']",['Usuario Estándar'],Especialista: frecuencia_retiro_cajero + Usuario Tradicional (Uso de Efectivo),"Dinero, Pago, Puedo, Compra, Si"
USR-03414,"['cube29_cluster0', 'cube45_cluster0']","['cube5_cluster9', 'cube6_cluster0']",['Perfil Internacional / Global User'],Especialista: Perfil Internacional / Global User + Cliente de Nómina (Alta Fidelidad),"Auto, 000, Enganche, Quiero, Meses"
USR-03415,['cube43_cluster0'],"['cube33_cluster92', 'cube34_cluster83']",['Usuario Tradicional (Uso de Efectivo)'],Especialista: Usuario Tradicional (Uso de Efectivo) + Perfil Internacional / Global User,"Si, Puedo, Quiero, Aparece, Cómo"
USR-03416,['cube171_cluster2'],"['cube26_cluster133', 'cube34_cluster28']",['Perfil de Ocio y Entretenimiento'],Especialista: Perfil de Ocio y Entretenimiento + frecuencia_servicios_digitales,"Puedo, Física, Si, Cómo, Solicitar"
USR-03417,['cube238_cluster1'],"['cube33_cluster7', 'cube34_cluster56']",['Viajero Frecuente'],Especialista: Viajero Frecuente + frecuencia_salud,"Movimiento, Movimientos, Reconozco, Reconocido, Reportar"
USR-03418,['cube205_cluster0'],"['cube23_cluster14', 'cube24_cluster21']",['Perfil de Alerta (Comportamiento Inusual)'],Especialista: Perfil de Alerta (Comportamiento Inusual) + patron_uso_atipico,"Número, Teléfono, Numero, Puedo, Llamar"
USR-03419,"['cube238_cluster2', 'cube253_cluster0']","['cube15_cluster7', 'cube16_cluster3', 'cube24_cluster3', 'cube25_cluster144']","['Cliente de Nómina (Alta Fidelidad)', 'Usuario Estándar']",Especialista: patron_uso_atipico + Cliente de Nómina (Alta Fidelidad),"Transferencia, Transferencias, Puedo, Transferir, Hacer"
USR-03420,"['cube216_cluster2', 'cube217_cluster2']",['cube33_cluster45'],"['Viajero Frecuente', 'Perfil de Alerta (Comportamiento Inusual)']",Especialista: Perfil de Alerta (Comportamiento Inusual) + patron_uso_atipico,"Transferencia, Transferencias, Puedo, Transferir, Hacer"
USR-03421,"['cube116_cluster1', 'cube117_cluster2', 'cube134_cluster1', 'cube135_cluster0']","['cube25_cluster47', 'cube26_cluster62']","['Viajero Frecuente', 'Usuario Tradicional (Uso de Efectivo)']",Especialista: Usuario Tradicional (Uso de Efectivo) + frecuencia_retiro_cajero,Desconocido/Ninguno
USR-03422,['cube82_cluster0'],['cube15_cluster86'],['Perfil de Alerta (Comportamiento Inusual)'],Especialista: Perfil de Alerta (Comportamiento Inusual) + patron_uso_atipico,"Débito, Deuda, Debito, Crédito, Si"
USR-03423,"['cube206_cluster2', 'cube221_cluster0']","['cube13_cluster5', 'cube14_cluster70', 'cube22_cluster5', 'cube23_cluster39']",['Cliente de Nómina (Alta Fidelidad)'],Especialista: Cliente de Nómina (Alta Fidelidad) + Usuario de Movilidad Urbana (Apps/Transporte),"Dinero, Pago, Puedo, Compra, Si"
USR-03424,['cube149_cluster2'],['cube14_cluster65'],['Perfil Familiar (Gastos de Casa)'],Especialista: Perfil Familiar (Gastos de Casa) + Responsable del Hogar (Gasto Elevado),"Seguro, Auto, Póliza, Puedo, Quiero"
USR-03425,"['cube78_cluster0', 'cube98_cluster0']","['cube33_cluster21', 'cube40_cluster8']","['Usuario Estándar', 'Perfil Internacional / Global User']",Especialista: Perfil Internacional / Global User + frecuencia_retiro_cajero,"Transferencia, Transferencias, Puedo, Transferir, Hacer"
USR-03426,"['cube149_cluster1', 'cube150_cluster1']","['cube7_cluster24', 'cube8_cluster39', 'cube15_cluster70', 'cube16_cluster102']",['Estudiante o Profesional en Formación'],Especialista: Estudiante o Profesional en Formación + Inversor en Educación,"Atención, Número, Clientes, Cliente, Centro"
USR-03427,['cube48_cluster0'],"['cube29_cluster12', 'cube37_cluster3']",['Usuario Tradicional (Uso de Efectivo)'],Especialista: Usuario Tradicional (Uso de Efectivo) + frecuencia_retiro_cajero,"Cancelar, Crédito, Quiero, Cómo, Credito"
USR-03428,"['cube244_cluster1', 'cube245_cluster1']",['cube14_cluster81'],['Inversor en Educación'],Especialista: Inversor en Educación + Estudiante o Profesional en Formación,"Si, Puedo, Quiero, Aparece, Cómo"
USR-03429,['cube160_cluster0'],"['cube17_cluster25', 'cube18_cluster19']",['Usuario en Riesgo de Abandono (Inactivo)'],Especialista: Usuario en Riesgo de Abandono (Inactivo) + Perfil Internacional / Global User,Desconocido/Ninguno
USR-03430,"['cube94_cluster0', 'cube95_cluster1']",['cube7_cluster0'],['Usuario Tradicional (Uso de Efectivo)'],Especialista: Usuario Tradicional (Uso de Efectivo) + Perfil Internacional / Global User,"Dinero, Pago, Puedo, Compra, Si"
USR-03431,['cube125_cluster0'],['cube27_cluster24'],['Perfil Internacional / Global User'],Especialista: Perfil Internacional / Global User + frecuencia_servicios_digitales,Desconocido/Ninguno
USR-03432,"['cube156_cluster2', 'cube157_cluster2', 'cube175_cluster1', 'cube176_cluster0']","['cube15_cluster10', 'cube24_cluster53']","['Viajero Frecuente', 'Cliente de Nómina (Alta Fidelidad)', 'Perfil Internacional / Global User']",Especialista: Viajero Frecuente + Estudiante o Profesional en Formación,Desconocido/Ninguno
USR-03433,"['cube62_cluster0', 'cube81_cluster0']","['cube31_cluster5', 'cube32_cluster30']",['Cliente de Nómina (Alta Fidelidad)'],Especialista: Cliente de Nómina (Alta Fidelidad),Desconocido/Ninguno
USR-03434,"['cube268_cluster0', 'cube269_cluster0']",['cube28_cluster39'],['Usuario Estándar'],Especialista: patron_uso_atipico + Perfil de Alerta (Comportamiento Inusual),"Virtual, Puedo, Cambiar, Cómo, Si"
USR-03435,"['cube142_cluster0', 'cube143_cluster0']","['cube10_cluster5', 'cube11_cluster7', 'cube18_cluster47', 'cube19_cluster2']",['Responsable del Hogar (Gasto Elevado)'],Especialista: Responsable del Hogar (Gasto Elevado) + Perfil Familiar (Gastos de Casa),"Clave, Interbancaria, Puedo, Ver, Dónde"
USR-03436,['cube67_cluster0'],"['cube24_cluster19', 'cube25_cluster34']",['Usuario Estándar'],Especialista: frecuencia_retiro_cajero + Usuario Tradicional (Uso de Efectivo),"Virtual, Puedo, Cambiar, Cómo, Si"
USR-03437,['cube228_cluster2'],"['cube14_cluster39', 'cube15_cluster4']",['Usuario Estándar'],Especialista: frecuencia_servicios_digitales + Perfil Foodie (Gasto en Restaurantes),"Auto, Crédito, Quiero, Automotriz, Credito"
USR-03438,['cube138_cluster1'],"['cube6_cluster17', 'cube7_cluster27']",['Usuario Estándar'],Especialista: promedio_salud + Cliente de Nómina (Alta Fidelidad),Desconocido/Ninguno
USR-03439,"['cube65_cluster0', 'cube84_cluster0']",['cube23_cluster4'],['Perfil de Alerta (Comportamiento Inusual)'],Especialista: Perfil de Alerta (Comportamiento Inusual) + patron_uso_atipico,"Atención, Número, Clientes, Cliente, Centro"
USR-03440,['cube34_cluster2'],"['cube17_cluster32', 'cube18_cluster7']",['Perfil Internacional / Global User'],Especialista: Perfil Internacional / Global User + frecuencia_salud,"Puedo, Bancos, Banregio, Independiente, Transferencia"
USR-03441,['cube193_cluster0'],"['cube32_cluster24', 'cube33_cluster38']",['Usuario Tradicional (Uso de Efectivo)'],Especialista: Usuario Tradicional (Uso de Efectivo) + frecuencia_retiro_cajero,"Virtual, Puedo, Cambiar, Cómo, Si"
USR-03442,"['cube255_cluster2', 'cube267_cluster2']","['cube25_cluster143', 'cube26_cluster28']",['Responsable del Hogar (Gasto Elevado)'],Especialista: Responsable del Hogar (Gasto Elevado) + Viajero de Alto Valor (Premium),"Puedo, Física, Si, Cómo, Solicitar"
USR-03443,['cube169_cluster1'],"['cube28_cluster26', 'cube29_cluster6']",['Viajero Frecuente'],Especialista: Viajero Frecuente + Inversor en Educación,"Cancelar, Crédito, Quiero, Cómo, Credito"
USR-03444,"['cube196_cluster2', 'cube197_cluster1']","['cube15_cluster28', 'cube16_cluster15']","['Perfil Tech-Savvy (Adoptador de Tecnología)', 'Viajero Frecuente']",Especialista: Viajero Frecuente + Estudiante o Profesional en Formación,"Dinero, Pago, Puedo, Compra, Si"
USR-03445,"['cube77_cluster0', 'cube78_cluster2']",['cube27_cluster17'],"['Viajero Frecuente', 'Inversor en Educación']",Especialista: Inversor en Educación + Estudiante o Profesional en Formación,"Crédito, Línea, Aumento, Aumentar, Linea"
USR-03446,['cube34_cluster0'],"['cube24_cluster0', 'cube32_cluster15']",['Usuario Tradicional (Uso de Efectivo)'],Especialista: Usuario Tradicional (Uso de Efectivo) + frecuencia_retiro_cajero,Desconocido/Ninguno
USR-03447,['cube194_cluster0'],"['cube35_cluster34', 'cube36_cluster9']",['Usuario Estándar'],Especialista: frecuencia_retiro_cajero + Perfil Internacional / Global User,Desconocido/Ninguno
USR-03448,"['cube159_cluster1', 'cube178_cluster1']","['cube5_cluster4', 'cube6_cluster26', 'cube13_cluster2', 'cube14_cluster80']","['Usuario Estándar', 'Perfil Foodie (Gasto en Restaurantes)']",Especialista: Perfil Foodie (Gasto en Restaurantes) + frecuencia_servicios_digitales,"Auto, Crédito, Quiero, Automotriz, Credito"
USR-03449,"['cube77_cluster0', 'cube78_cluster2']","['cube27_cluster9', 'cube35_cluster3']","['Viajero Frecuente', 'Inversor en Educación']",Especialista: Inversor en Educación + Estudiante o Profesional en Formación,"Puedo, Física, Si, Cómo, Solicitar"
USR-03450,['cube34_cluster0'],"['cube25_cluster1', 'cube26_cluster172']",['Usuario Tradicional (Uso de Efectivo)'],Especialista: Usuario Tradicional (Uso de Efectivo) + frecuencia_retiro_cajero,"Movimiento, Movimientos, Reconozco, Reconocido, Reportar"
USR-03451,"['cube136_cluster1', 'cube137_cluster0']","['cube23_cluster14', 'cube24_cluster21']","['Viajero Frecuente', 'Usuario en Riesgo de Abandono (Inactivo)']",Especialista: Viajero Frecuente + Estudiante o Profesional en Formación,"Número, Teléfono, Numero, Puedo, Llamar"
USR-03452,['cube260_cluster1'],"['cube33_cluster71', 'cube40_cluster15']",['Perfil Internacional / Global User'],Especialista: Perfil Internacional / Global User + Usuario Tradicional (Uso de Efectivo),"Transferencia, Transferencias, Puedo, Transferir, Hacer"
